"name","description","category","url"
"APD Crime","From https://github.com/codeforatlanta/apd-crime-data/blob/master/APD_crime.csv","PUBLIC SAFETY","https://brigades.opendatanetwork.com/d/hn3z-ivw4"
"Poverty Estimates","","","https://brigades.opendatanetwork.com/d/ts7n-tc5u"
"Atlanta City Planning: Land Quadrants","","","https://brigades.opendatanetwork.com/d/6suj-qu2k"
"SNAP Data: Estimates + Margin of Error","RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS\nUniverse: Households  more information\n2008-2012 American Community Survey 5-Year Estimates\n\nSource - US Census (Census.gov)","","https://brigades.opendatanetwork.com/d/4zzk-jxhw"
"Map of Georgia Polling Places","Current locations of all polling places in the state","CIVIC ENGAGEMENT","https://brigades.opendatanetwork.com/d/qc9y-qmyt"
"Poverty Estimates by County","","","https://brigades.opendatanetwork.com/d/hjyb-6z23"
"Kroger Food Markets (Locations)","","","https://brigades.opendatanetwork.com/d/8jcv-agnu"
"Georgia Polling Places","Current locations of all polling places in the state","CIVIC ENGAGEMENT","https://brigades.opendatanetwork.com/d/8p6v-ph9y"
"School Ranking Output","","EDUCATION","https://brigades.opendatanetwork.com/d/myfz-2bzu"
"Demographics for Georgia Schools Pre-K through 12th grade for 2013","","EDUCATION","https://brigades.opendatanetwork.com/d/izti-grbb"
"Schools & Data","Schools of GA, their location, FRL and CRCT for 2011 2014","EDUCATION","https://brigades.opendatanetwork.com/d/ggs6-cqf3"
"SchoolsAndData","Schools of GA, their location, FRL and CRCT for 2011 2014","EDUCATION","https://brigades.opendatanetwork.com/d/ac56-vzcv"
"Walmart Stores (Locations near ATL)","","","https://brigades.opendatanetwork.com/d/4cmf-3gny"
"SNAP Data by Census Tract 2008-2012","RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS\nUniverse: Households  more information\n2008-2012 American Community Survey 5-Year Estimates\n\nSource - US Census (Census.gov)","","https://brigades.opendatanetwork.com/d/9wat-sg7z"
"Georgia Schools with location","","EDUCATION","https://brigades.opendatanetwork.com/d/qs3r-nskv"
"Atlanta DPW Work Order Report OCT 2013 - OCT 2014","Work orders from the Atlanta Department of Public Works","CITY PROCESS  IMPROVEMENTS","https://brigades.opendatanetwork.com/d/6429-at59"
"Fulton County Food Service Inspection Scores (location column separated)","Health inspections of food services in Fulton County 2014-2015","HEALTH","https://brigades.opendatanetwork.com/d/vbqj-fz7t"
"Walmart Stores in the United States & Canada (Locations)","","","https://brigades.opendatanetwork.com/d/5gyf-irpw"
"Fulton County Food Service Inspection Scores 2014-2015","Health inspections of food services in Fulton County 2014-2015","HEALTH","https://brigades.opendatanetwork.com/d/jzeg-w743"
"Publix Stores (Locations)","","","https://brigades.opendatanetwork.com/d/6pdx-kvsy"
"Rite Aid Stores (Locations near ATL)","","","https://brigades.opendatanetwork.com/d/kd3d-cmsc"
"Farmers Markets","","","https://brigades.opendatanetwork.com/d/hwjf-rtg5"
"Rite Aid Stores (Locations)","","","https://brigades.opendatanetwork.com/d/dv9p-i8m7"
"Georgia zipcodes with centroids","","","https://brigades.opendatanetwork.com/d/wjkx-tzib"
"Kroger Food Markets (Locations near ATL)","","","https://brigades.opendatanetwork.com/d/cvk3-67za"
"Publix Stores (Locations near ATL)","","","https://brigades.opendatanetwork.com/d/nhqh-6f83"
"Poverty Rates for Counties in Georgia (Chart)","","","https://brigades.opendatanetwork.com/d/xak3-yb67"
"Acfb Inventory","A proof of concept dataset from the TEST HARVEST acfb server.","OPEN DATA SHARING PLATFORM","https://brigades.opendatanetwork.com/d/9vmw-nd4q"
"Socrata See Click Fix Data Huntsville","","311","https://brigades.opendatanetwork.com/d/jaih-xfxv"
"Community Resources: Count by Type","","","https://brigades.opendatanetwork.com/d/xsrn-qfrg"
"Atlanta Neighborhood Planning Units (NPUs)","","NEIGHBORHOODS","https://brigades.opendatanetwork.com/d/vr2d-uqs4"
"Atlanta Community Resources","","","https://brigades.opendatanetwork.com/d/cehx-dbdu"
"Map of Atlanta Community Resources","","","https://brigades.opendatanetwork.com/d/4xde-ne43"
"Poverty Estimates by County (GA)","","","https://brigades.opendatanetwork.com/d/5srp-4gk8"
"TEST DATA: SNAP Discounts by Store, User, Date","","","https://brigades.opendatanetwork.com/d/sq7z-q2nb"
"SCI Neighborhood Survey Totals","This dataset is a neighborhood by neighborhood accounting of parcels, vacant parcels, structure state, and other data points related to housing in Atlanta.","HOUSING","https://brigades.opendatanetwork.com/d/8wkm-jj5x"
"Fulton County Tax Landlots","","","https://brigades.opendatanetwork.com/d/5zu7-js5j"
"Atlanta Neighborhoods","","","https://brigades.opendatanetwork.com/d/pctc-ejxr"
"Poverty Rates by State (Map)","","","https://brigades.opendatanetwork.com/d/jrzd-fa3x"
"Brigade - Code for Atlanta - Info","","OPEN DATA SHARING PLATFORM","https://brigades.opendatanetwork.com/d/mab2-7m5w"
"Greater Atlanta Food Deserts","","","https://brigades.opendatanetwork.com/d/t2n7-xfgr"
"Major Roads (Atlanta, GA)","This layer was developed by the Research & Analytics Division of the Atlanta Regional Commission and is a subset of the Georgia Department of Transportation's (GDOT) DLGF street centerline database. The features included in this Layer consist of all State highways in the 29-county area, as well as a number of additional roads that were identified by ARC's Transportation Planning Division (TPD) as major roads. Please note, this Layer is intended for relatively small scale mapping and labeling, and should be used in conjunction with the Expressways Layer. For more information on the DLGF streetbase, refer to the metadata for ARstreets and Streets.","","https://brigades.opendatanetwork.com/d/c7cs-g3xa"
"Total Discounts by SNAP User","","","https://brigades.opendatanetwork.com/d/u6kz-gefc"
"Pat - Test","","","https://brigades.opendatanetwork.com/d/id9x-imtw"
"Total Sales and Total Discounts by Store","","","https://brigades.opendatanetwork.com/d/geab-cg7w"
"Atlanta City Council Districts (2014)","","","https://brigades.opendatanetwork.com/d/tae7-6gc2"
